storm.id  storm.name  n.obs  storm.duration  storm.pdi  max.wind  storm.year
EP032009  BLANCA  25  540000  2422137069.93704  45  2009
EP032012  CARLOTTA  15  324000  7804214599.2963  90  2012
EP032013  COSME  30  648000  9100015657.35185  75  2013
EP032014  CRISTINA  41  885600  35978789434.363  130  2014
EP032015  CARLOS  31  669600  18033874696.763  80  2015
EP032016  BLAS  37  799200  55368384500.5185  120  2016
EP041972  DIANA  37  799200  35400182096.6667  95  1972
EP041982  DANIEL  64  1382400  45987520046.4704  100  1982
EP041983  DALILIA  26  561600  5607050649.22592  60  1983
EP041986  DARBY  17  367200  1289184201.58889  35  1986
EP041987  DORA  21  453600  3220571083.58148  50  1987
EP041990  DOUGLAS  20  432000  5169970519.28889  55  1990
EP041991  DELORES  26  561600  10783270421.8444  75  1991
EP041992  CELIA  50  1080000  77081231392.7481  125  1992
EP041993  CALVIN  19  410400  17815886036.5  95  1993
EP041994  DANIEL  26  561600  8169612117.51111  55  1994
EP041995  COSME  21  453600  6570538471.4  65  1995
EP041997  UNNAMED  12  259200  1574076632.79259  45  1997
EP041998  CELIA  17  367200  2962513681.38148  50  1998
EP042001  ERICK  14  302400  1404979189.75556  35  2001
EP042002  CRISTINA  30  648000  4288090593.53704  55  2002
EP042003  DOLORES  11  237600  698813563.507407  35  2003
EP042004  CELIA  30  648000  8871366506.11481  75  2004
EP042005  DORA  12  259200  1198386226.74074  40  2005
EP042006  CARLOTTA  33  712800  12004815646.2185  75  2006
EP042009  CARLOS  27  583200  18434194512.9963  90  2009
EP042012  DANIEL  41  885600  26053137131.2259  100  2012
EP042013  DALILA  41  885600  9883377942.37778  70  2013
EP042014  DOUGLAS  42  907200  4310514384.89629  45  2014
EP042015  ELA  21  453600  1865953523.6  40  2015
EP042016  CELIA  63  1360800  23182891837.2407  85  2016
EP051972  ESTELLE  31  669600  12233832400.5926  70  1972
EP051982  EMILIA  14  302400  3368347544.67037  55  1982
EP051983  ERICK  19  410400  4202439062.60741  55  1983
EP051986  ESTELLE  40  864000  59535533661.9704  115  1986
EP051987  EUGENE  19  410400  9896244052.17407  85  1987
EP051990  ELIDA  26  561600  9856910516.51111  70  1990
EP051991  UNNAMED  7  151200  422008401.318518  30  1991
EP051992  DARBY  31  669600  28333011787.1296  105  1992
EP051993  DORA  26  561600  38099491931.9296  115  1993
EP051994  EMILIA  37  799200  117267973936.774  140  1994
EP051995  DALILA  36  777600  6196318477.8963  55  1995
EP051997  UNNAMED  19  410400  1318960055.68889  30  1997
EP051998  DARBY  37  799200  47702021077.6111  100  1998
EP052001  DALILA  31  669600  12603641156.4519  65  2001
EP052002  DOUGLAS  27  583200  20621065575.2296  90  2002
EP052003  ENRIQUE  23  496800  3817558578.12963  55  2003
EP052004  DARBY  24  518400  21834891133.7259  105  2004
EP052005  EUGENE  15  324000  2610717479.23704  60  2005
EP052006  DANIEL  48  1036800  93011680939.3852  130  2006
EP052009  DOLORES  25  540000  2243114342.2  50  2009
EP052012  EMILIA  44  950400  50824074520.4667  120  2012
EP052013  ERICK  22  475200  9413948736.38148  70  2013
EP052014  ELIDA  11  237600  1849043779.2963  45  2014
EP052015  DOLORES  45  972000  36695983154.7222  115  2015
EP052016  DARBY  61  1317600  50027478522.5074  105  2016
EP061972  FERNANDA  49  1058400  38128164976.6185  100  1972
EP061982  FABIO  32  691200  11090954247.5444  70  1982
EP061983  FLOSSIE  19  410400  2316634969.60741  50  1983
EP061986  FRANK  38  820800  13511253301.7963  75  1986
EP061987  FERNANDA  30  648000  5129534174.21481  55  1987
EP061990  UNNAMED  17  367200  1249483062.78889  30  1990
EP061991  ENRIQUE  26  561600  5961052470.19259  65  1991
EP061992  ESTELLE  34  734400  54137281594.5815  120  1992
EP061993  EUGENE  38  820800  54455258308.1185  110  1993
EP061994  FABIO  21  453600  1561578126.13333  40  1994
EP061995  ERICK  26  561600  3772343392.27407  55  1995
EP061997  DOLORES  30  648000  17106411982.0185  80  1997
EP061998  ESTELLE  41  885600  37951715470.8407  115  1998
EP062001  UNNAMED  7  151200  488912172.259259  30  2001
EP062002  ELIDA  35  756000  55520939802.3889  140  2002
EP062003  FELICIA  28  604800  2507053394.59259  45  2003
EP062004  UNNAMED  4  86400  183801568.518519  25  2004
EP062005  FERNANDA  33  712800  17841250652.9556  75  2005
EP062006  EMILIA  41  885600  7069743531.4963  55  2006
EP062009  LANA  16  345600  3520902846.54074  55  2009
EP062012  FABIO  40  864000  24859162142.1296  95  2012
EP062013  FLOSSIE  23  496800  6339683701.34074  60  2013
EP062014  FAUSTO  13  280800  1184049704.3963  40  2014
EP062015  ENRIQUE  38  820800  3786312311.48148  45  2015
EP062016  ESTELLE  38  820800  12230523972.3593  60  2016
EP071972  GWEN  37  799200  38677364063.3518  110  1972
EP071982  GILMA  28  604800  25320504079.1111  110  1982
EP071983  GIL  51  1101600  22468271338.8407  80  1983
EP071986  GEORGETTE  8  172800  681903819.203704  35  1986
EP071987  GREG  28  604800  9417624767.75185  70  1987
EP071990  FAUSTO  28  604800  12885960365.6963  75  1990
EP071991  FEFA  40  864000  47254280456.7  105  1991
EP071992  FRANK  42  907200  76239420208.9333  125  1992
EP071993  FERNANDA  42  907200  81033700322.1704  125  1993
EP071994  GILMA  40  864000  77739976214.3185  140  1994
EP071995  FLOSSIE  27  583200  12302574187.2185  70  1995
EP071997  ENRIQUE  19  410400  18947000889.163  100  1997
EP071998  FRANK  15  324000  1466368913.64074  40  1998
EP072001  FLOSSIE  28  604800  20313749352.6667  90  2001
EP072002  UNNAMED  9  194400  614264841.988889  30  2002
EP072003  GUILLERMO  24  518400  4145460576.36667  50  2003
EP072004  ESTELLE  27  583200  4768915496.78148  60  2004
