  .1969719178E+04   .1969760959E+04  .5940E+03  .1938E+10  .7132E+11  .5305E+04  .1000E+03  .1612E+11  .5359E+02 -.4700E+02  .1600E+02 -.6160E+02  .2610E+02  .2625E+03  .6071E+02  .1033E+00  .3425E+04  .2450E+06  .2788E+02  .3245E+00
  .1969721918E+04   .1969730137E+04  .1140E+03  .3321E+09  .9932E+10  .1030E+04  .6500E+02  .1645E+11  .5421E+02 -.7100E+02  .3400E+02 -.5600E+02  .4450E+02  .2635E+03  .1609E+02  .1490E+00  .3058E+04  .1778E+06  .2788E+02  .3245E+00
  .1969730137E+04   .1969737671E+04  .1380E+03  .3458E+09  .9699E+10  .1150E+04  .6000E+02  .1680E+11  .5000E+02 -.3500E+02  .3650E+02 -.4100E+02  .4700E+02  .2665E+03  .1884E+02  .1427E+00  .2630E+04  .1434E+06  .2788E+02  .3245E+00
  .1969743836E+04   .1969745205E+04  .6000E+02  .1060E+09  .2498E+10  .4200E+03  .5000E+02  .1691E+11  .4200E+02 -.8550E+02  .2350E+02 -.8650E+02  .3100E+02  .2715E+03  .7711E+01  .1428E+00  .1855E+04  .8498E+05  .2788E+02  .3245E+00
  .1969749315E+04   .1969752740E+04  .1320E+03  .9388E+08  .1367E+10  .5950E+03  .4000E+02  .1700E+11  .2705E+02 -.8370E+02  .1900E+02 -.9280E+02  .2750E+02  .2735E+03  .2153E+02  .1709E+00  .7466E+03  .2113E+05  .2788E+02  .3245E+00
  .1969765753E+04   .1969794521E+04  .2880E+03  .8212E+09  .2656E+11  .2485E+04  .9000E+02  .1782E+11  .5177E+02 -.6800E+02  .2050E+02 -.2800E+02  .4580E+02  .2795E+03  .6795E+02  .2410E+00  .2993E+04  .1882E+06  .2788E+02  .3245E+00
  .1969791781E+04   .1969804110E+04  .2520E+03  .5736E+09  .1886E+11  .1850E+04  .9000E+02  .1840E+11  .4405E+02 -.8510E+02  .1730E+02 -.9310E+02  .1800E+02  .2890E+03  .2653E+02  .1078E+00  .2389E+04  .1527E+06  .2788E+02  .3245E+00
  .1969823288E+04   .1969828082E+04  .8400E+02  .2016E+09  .5530E+10  .6850E+03  .6000E+02  .1860E+11  .4893E+02 -.4250E+02  .3050E+02 -.3500E+02  .3800E+02  .3005E+03  .1652E+02  .2118E+00  .2520E+04  .1343E+06  .2788E+02  .3245E+00
  .1969828767E+04   .1969842466E+04  .1860E+03  .5701E+09  .1687E+11  .1750E+04  .6500E+02  .1917E+11  .5645E+02 -.5700E+02  .4250E+02 -.2500E+02  .4000E+02  .3025E+03  .4111E+02  .2284E+00  .3218E+04  .1851E+06  .2788E+02  .3245E+00
  .1969889041E+04   .1969891781E+04  .1020E+03  .3278E+09  .1070E+11  .9500E+03  .8000E+02  .1949E+11  .5588E+02 -.8100E+02  .1030E+02 -.8200E+02  .8500E+01  .3245E+03  .2466E+01  .2568E-01  .3374E+04  .2141E+06  .2788E+02  .3245E+00
